DateTime,CO2_in(ppm),CO2_out(ppm)
2025/02/27 14:35:21,-9999,429.1
2025/02/27 15:36:35,430.9,-9999
2025/02/27 15:38:51,-9999,431.2
2025/02/27 16:35:30,430.7,-9999
2025/02/27 16:37:46,-9999,430.9
2025/02/27 17:34:25,428,-9999
2025/02/27 17:36:41,-9999,427.8
2025/02/27 18:33:20,427.4,-9999
2025/02/27 18:35:36,-9999,427.1
2025/02/27 19:32:15,426.6,-9999
2025/02/27 19:34:31,-9999,427
2025/02/27 20:31:10,430.4,-9999
2025/02/27 20:33:26,-9999,430.7
2025/02/27 21:30:05,433.4,-9999
2025/02/27 21:32:20,-9999,434
2025/02/27 22:29:00,434.9,-9999
2025/02/27 22:31:15,-9999,435.1
2025/02/27 23:27:55,433.3,-9999
2025/02/27 23:30:10,-9999,433.4
2025/02/28 00:26:50,434.5,-9999
2025/02/28 00:29:05,-9999,435.4
2025/02/28 01:25:44,433.1,-9999
2025/02/28 01:28:00,-9999,432.9
2025/02/28 02:24:39,432.5,-9999
2025/02/28 02:26:55,-9999,432.2
2025/02/28 03:28:10,431.5,-9999
2025/02/28 03:30:26,-9999,431.6
2025/02/28 04:27:05,432,-9999
2025/02/28 04:29:20,-9999,431.8
2025/02/28 05:26:00,431.3,-9999
2025/02/28 05:28:15,-9999,431.2
2025/02/28 06:24:54,431,-9999
2025/02/28 06:27:10,-9999,431
2025/02/28 07:23:49,431.1,-9999
2025/02/28 07:26:05,-9999,431.1
2025/02/28 08:22:44,430.3,-9999
2025/02/28 08:25:00,-9999,430.4
2025/02/28 09:21:39,429.2,-9999
2025/02/28 09:23:55,-9999,429.3
2025/02/28 10:20:34,427.7,-9999
2025/02/28 10:22:50,-9999,427.7
2025/02/28 11:19:29,426.5,-9999
2025/02/28 11:21:45,-9999,426.6
2025/02/28 12:18:24,425.8,-9999
2025/02/28 12:20:40,-9999,425.8
2025/02/28 13:17:19,425.5,-9999
2025/02/28 13:19:35,-9999,425.6
2025/02/28 14:16:14,427.9,-9999
2025/02/28 14:18:29,-9999,427.7
2025/02/28 15:19:44,426.3,-9999
2025/02/28 15:22:00,-9999,426.4
2025/02/28 16:18:40,425,-9999
2025/02/28 16:20:55,-9999,425.5
2025/02/28 17:17:35,425.4,-9999
2025/02/28 17:19:50,-9999,425.9
2025/02/28 18:16:29,426.2,-9999
2025/02/28 18:18:45,-9999,426.5
2025/02/28 19:15:25,427.9,-9999
2025/02/28 19:17:40,-9999,428.1
2025/02/28 20:14:20,429.9,-9999
2025/02/28 20:16:35,-9999,430
2025/02/28 21:13:15,430,-9999
2025/02/28 21:15:31,-9999,430.1
2025/02/28 22:12:10,429.9,-9999
2025/02/28 22:14:25,-9999,429.9
2025/02/28 23:11:05,429.7,-9999
2025/02/28 23:13:20,-9999,429.7
