DateTime,CO2_in(ppm),CO2_out(ppm)
2025/02/06 11:56:37,445.2,-9999
2025/02/06 11:58:53,-9999,445.8
2025/02/06 13:56:37,448.7,-9999
2025/02/06 13:58:53,-9999,448.8
2025/02/06 15:56:38,449.8,-9999
2025/02/06 15:58:53,-9999,450.1
2025/02/06 17:56:38,447.3,-9999
2025/02/06 17:58:53,-9999,447.8
2025/02/06 19:56:38,445.8,-9999
2025/02/06 19:58:53,-9999,446.4
2025/02/06 21:56:37,448.2,-9999
2025/02/06 21:58:53,-9999,448.3
2025/02/06 23:56:37,448.7,-9999
2025/02/06 23:58:53,-9999,448.8
2025/02/07 01:56:38,447.3,-9999
2025/02/07 01:58:53,-9999,447.6
2025/02/07 03:56:37,447.9,-9999
2025/02/07 03:58:53,-9999,448.1
2025/02/07 05:56:37,446.2,-9999
2025/02/07 05:58:53,-9999,446.5
2025/02/07 07:56:37,445.8,-9999
2025/02/07 07:58:53,-9999,446.1
2025/02/07 09:56:37,445.7,-9999
2025/02/07 09:58:53,-9999,446
2025/02/07 11:56:37,445.2,-9999
2025/02/07 11:58:53,-9999,445.7
2025/02/07 13:56:37,446,-9999
2025/02/07 13:58:53,-9999,446
2025/02/07 15:56:38,445.5,-9999
2025/02/07 15:58:53,-9999,446.1
2025/02/07 17:56:37,445.5,-9999
2025/02/07 17:58:53,-9999,445.7
2025/02/07 19:56:38,447.5,-9999
2025/02/07 19:58:53,-9999,447.7
2025/02/07 21:56:37,448,-9999
2025/02/07 21:58:53,-9999,448
2025/02/07 23:56:37,450.1,-9999
2025/02/07 23:58:53,-9999,449.8
2025/02/08 01:56:38,447.4,-9999
2025/02/08 01:58:53,-9999,447.6
2025/02/08 03:56:37,447.3,-9999
2025/02/08 03:58:53,-9999,447.6
2025/02/08 05:56:37,447.2,-9999
2025/02/08 05:58:53,-9999,446.8
2025/02/08 07:56:37,446.3,-9999
2025/02/08 07:58:53,-9999,446.9
2025/02/08 09:56:37,444.3,-9999
2025/02/08 09:58:53,-9999,444.7
2025/02/08 11:56:37,444.1,-9999
2025/02/08 11:58:53,-9999,444.4
2025/02/08 13:56:37,444.5,-9999
2025/02/08 13:58:53,-9999,444.2
2025/02/08 15:56:37,445.9,-9999
2025/02/08 15:58:53,-9999,446.3
2025/02/08 17:56:37,444.8,-9999
2025/02/08 17:58:53,-9999,444.8
2025/02/08 19:56:38,444.7,-9999
2025/02/08 19:58:53,-9999,444.3
2025/02/08 21:56:38,446,-9999
2025/02/08 21:58:53,-9999,446.4
2025/02/08 23:56:37,449.5,-9999
2025/02/08 23:58:53,-9999,449.3
2025/02/09 01:56:38,450.1,-9999
2025/02/09 01:58:53,-9999,450.3
2025/02/09 03:56:37,449.1,-9999
2025/02/09 03:58:52,-9999,449.3
2025/02/09 05:56:37,448.1,-9999
2025/02/09 05:58:53,-9999,447.8
2025/02/09 07:56:37,447.1,-9999
2025/02/09 07:58:53,-9999,447.5
2025/02/09 09:56:37,445.4,-9999
2025/02/09 09:58:53,-9999,445.4
2025/02/09 11:56:37,444.9,-9999
2025/02/09 11:58:53,-9999,444.7
2025/02/09 13:56:38,442.5,-9999
2025/02/09 13:58:53,-9999,442.8
2025/02/09 15:56:38,99.02,-9999
2025/02/09 15:58:54,-9999,88.63
2025/02/09 17:56:37,141.9,-9999
2025/02/09 17:58:52,-9999,164.8
2025/02/09 19:56:38,25.17,-9999
2025/02/09 19:58:53,-9999,25.33
2025/02/09 21:56:38,23.33,-9999
2025/02/09 21:58:53,-9999,23.51
2025/02/09 23:56:37,23.93,-9999
2025/02/09 23:58:53,-9999,23.62
2025/02/10 01:56:37,22.84,-9999
2025/02/10 01:58:53,-9999,23.16
2025/02/10 03:56:38,24.19,-9999
2025/02/10 03:58:53,-9999,24.56
2025/02/10 05:56:38,79.18,-9999
2025/02/10 05:58:53,-9999,81.41
2025/02/10 07:56:37,25.06,-9999
2025/02/10 07:58:53,-9999,25.17
2025/02/10 09:56:38,20.52,-9999
2025/02/10 09:58:53,-9999,20.29
2025/02/10 11:56:37,20.94,-9999
2025/02/10 11:58:53,-9999,20.82
2025/02/10 13:56:37,80.65,-9999
2025/02/10 13:58:53,-9999,82.65
2025/02/10 15:56:37,150.5,-9999
2025/02/10 15:58:53,-9999,151
2025/02/10 17:56:37,434.2,-9999
2025/02/10 17:58:53,-9999,433.6
2025/02/10 19:56:38,21.48,-9999
2025/02/10 19:58:53,-9999,21.41
2025/02/10 21:56:38,22.08,-9999
2025/02/10 21:58:53,-9999,22.23
2025/02/10 23:56:37,23.28,-9999
2025/02/10 23:58:53,-9999,23.72
2025/02/11 01:56:37,260.7,-9999
2025/02/11 01:58:53,-9999,276.9
2025/02/11 03:56:38,404.4,-9999
2025/02/11 03:58:53,-9999,404.3
2025/02/11 05:56:37,419.2,-9999
2025/02/11 05:58:53,-9999,419.7
2025/02/11 07:56:37,22.5,-9999
2025/02/11 07:58:53,-9999,22.62
2025/02/11 09:56:37,24.91,-9999
2025/02/11 09:58:53,-9999,25.62
2025/02/11 11:56:37,96.68,-9999
2025/02/11 11:58:53,-9999,86.08
2025/02/11 13:56:38,391,-9999
2025/02/11 13:58:54,-9999,396.2
2025/02/11 15:56:38,82.4,-9999
2025/02/11 15:58:53,-9999,75.77
2025/02/11 17:56:37,27.9,-9999
2025/02/11 17:58:53,-9999,28.52
2025/02/11 19:56:38,155.3,-9999
2025/02/11 19:58:53,-9999,150.3
2025/02/11 21:56:37,21.97,-9999
2025/02/11 21:58:53,-9999,21.4
2025/02/11 23:56:38,17.89,-9999
2025/02/11 23:58:53,-9999,19.12
2025/02/12 01:56:37,20.97,-9999
2025/02/12 01:58:53,-9999,20.77
2025/02/12 03:56:37,19.19,-9999
2025/02/12 03:58:53,-9999,19.64
2025/02/12 05:56:37,20.31,-9999
2025/02/12 05:58:53,-9999,20.02
2025/02/12 07:56:38,22.03,-9999
2025/02/12 07:58:53,-9999,21.87
2025/02/12 09:56:38,448.5,-9999
2025/02/12 09:58:53,-9999,448.3
2025/02/12 11:56:38,447.1,-9999
2025/02/12 11:58:54,-9999,446.6
2025/02/12 13:56:38,446.3,-9999
2025/02/12 13:58:54,-9999,447.1
2025/02/12 15:56:38,453.4,-9999
2025/02/12 15:58:53,-9999,453.3
2025/02/12 17:56:37,453.2,-9999
2025/02/12 17:58:53,-9999,453.2
2025/02/12 19:56:38,453.6,-9999
2025/02/12 19:58:53,-9999,453.7
2025/02/12 21:56:37,454.2,-9999
2025/02/12 21:58:53,-9999,454.2
2025/02/12 23:56:38,455.3,-9999
2025/02/12 23:58:54,-9999,455.4
2025/02/13 01:56:38,455.6,-9999
2025/02/13 01:58:54,-9999,455.8
2025/02/13 03:56:38,455.3,-9999
2025/02/13 03:58:54,-9999,455.5
2025/02/13 05:56:38,455,-9999
2025/02/13 05:58:53,-9999,454.9
2025/02/13 07:56:37,454.9,-9999
2025/02/13 07:58:53,-9999,454.9
2025/02/13 09:56:38,453.8,-9999
2025/02/13 09:58:54,-9999,453.8
2025/02/13 11:56:37,452.2,-9999
2025/02/13 11:58:53,-9999,452.2
2025/02/13 13:56:38,452.9,-9999
2025/02/13 13:58:53,-9999,452.9
2025/02/13 15:56:38,452.8,-9999
2025/02/13 15:58:53,-9999,452.8
2025/02/13 17:56:37,451.2,-9999
2025/02/13 17:58:53,-9999,451.3
2025/02/13 19:56:37,452.1,-9999
2025/02/13 19:58:53,-9999,452.2
2025/02/13 21:56:38,453.2,-9999
2025/02/13 21:58:53,-9999,453.2
2025/02/13 23:56:38,453.9,-9999
2025/02/13 23:58:53,-9999,453.8
2025/02/14 01:56:38,454.8,-9999
2025/02/14 01:58:53,-9999,454.9
2025/02/14 03:56:38,456.7,-9999
2025/02/14 03:58:53,-9999,456.7
2025/02/14 05:56:38,457.8,-9999
2025/02/14 05:58:53,-9999,457.9
2025/02/14 07:56:37,458.8,-9999
2025/02/14 07:58:53,-9999,458.7
2025/02/14 09:56:37,455.9,-9999
2025/02/14 09:58:53,-9999,455.5
2025/02/14 11:56:37,454.7,-9999
2025/02/14 11:58:53,-9999,454.5
2025/02/14 13:56:38,433.3,-9999
2025/02/14 13:58:53,-9999,428
2025/02/14 15:56:37,456.5,-9999
2025/02/14 15:58:53,-9999,456.5
2025/02/14 17:56:38,454.3,-9999
2025/02/14 17:58:53,-9999,454.3
2025/02/14 19:56:38,455.4,-9999
2025/02/14 19:58:53,-9999,455.4
