DateTime,CO2_MNT_ppm,CO2_LL1m_ppm,CO2_LL13m_ppm
2025-02-01 00:00:00,2015.555419921875,2011.653076171875,509.7805786132813
2025-02-01 00:15:00,2015.555419921875,2011.653076171875,509.7386474609375
2025-02-01 00:30:00,2015.513427734375,2011.653076171875,510.7457885742188
2025-02-01 00:45:00,2015.59765625,2011.653076171875,510.577880859375
2025-02-01 01:00:00,2015.513427734375,2011.569091796875,508.6056518554688
2025-02-01 01:15:00,2015.555419921875,2011.611083984375,511.9627075195313
2025-02-01 01:30:00,2015.4296875,2011.611083984375,509.9903564453125
2025-02-01 01:45:00,2015.4716796875,2011.611083984375,510.8297119140625
2025-02-01 02:00:00,2015.4716796875,2011.527099609375,510.5359497070313
2025-02-01 02:15:00,2015.555419921875,2011.653076171875,510.4520263671875
2025-02-01 02:30:00,2015.513427734375,2011.737060546875,508.0181884765625
2025-02-01 02:45:00,2015.513427734375,2011.569091796875,508.0601806640625
2025-02-01 03:00:00,2015.4716796875,2011.569091796875,510.577880859375
2025-02-01 03:15:00,2015.59765625,2011.611083984375,511.8367309570313
2025-02-01 03:30:00,2015.4296875,2011.569091796875,511.3331909179688
2025-02-01 03:45:00,2015.555419921875,2011.653076171875,511.2493286132813
2025-02-01 04:00:00,2015.513427734375,2011.653076171875,508.22796630859375
2025-02-01 04:15:00,2015.513427734375,2011.611083984375,513.2634887695312
2025-02-01 04:30:00,2015.4716796875,2011.569091796875,515.1098022460938
2025-02-01 04:45:00,2015.513427734375,2011.611083984375,513.4313354492188
2025-02-01 05:00:00,2015.513427734375,2011.611083984375,514.1447143554688
2025-02-01 05:15:00,2015.513427734375,2011.611083984375,515.361572265625
2025-02-01 05:30:00,2015.513427734375,2011.695068359375,513.7670288085938
2025-02-01 05:45:00,2015.513427734375,2011.653076171875,514.5223388671875
2025-02-01 06:00:00,2015.4716796875,2011.611083984375,512.3402709960938
2025-02-01 06:15:00,2015.513427734375,2011.695068359375,516.2427978515625
2025-02-01 06:30:00,2015.513427734375,2011.569091796875,515.6134033203125
2025-02-01 06:45:00,2015.513427734375,2011.611083984375,514.3125
2025-02-01 07:00:00,2015.555419921875,2011.569091796875,513.8089599609375
2025-02-01 07:15:00,2015.555419921875,2011.695068359375,511.54296875
2025-02-01 07:30:00,2015.555419921875,2011.611083984375,513.8089599609375
2025-02-01 07:45:00,2015.513427734375,2011.695068359375,508.98333740234375
2025-02-01 08:00:00,2015.513427734375,2011.695068359375,500.8006591796875
2025-02-01 08:15:00,2015.59765625,2011.695068359375,491.02349853515625
2025-02-01 08:30:00,2015.513427734375,2011.653076171875,478.64459228515625
2025-02-01 08:45:00,2015.555419921875,2011.527099609375,471.17523193359375
2025-02-01 09:00:00,2015.3876953125,2011.569091796875,458.83837890625
2025-02-01 09:15:00,2015.4296875,2011.569091796875,449.0611572265625
2025-02-01 09:30:00,2015.555419921875,2011.527099609375,438.23486328125
2025-02-01 09:45:00,2015.513427734375,2011.527099609375,424.72308349609375
2025-02-01 10:00:00,2015.555419921875,2011.443359375,416.8341064453125
2025-02-01 10:15:00,2015.555419921875,2011.401123046875,403.615966796875
2025-02-01 10:30:00,2015.513427734375,2011.4853515625,397.4895629882813
2025-02-01 10:45:00,2015.639404296875,2011.443359375,392.412109375
2025-02-01 11:00:00,2015.555419921875,2011.4853515625,391.78271484375
2025-02-01 11:15:00,2015.639404296875,2011.4853515625,391.1951904296875
2025-02-01 11:30:00,2015.639404296875,2011.401123046875,387.922119140625
2025-02-01 11:45:00,2015.681396484375,2011.401123046875,385.57220458984375
2025-02-01 12:00:00,2015.639404296875,2011.4853515625,383.2642822265625
2025-02-01 12:15:00,2015.681396484375,2011.443359375,384.3553466796875
2025-02-01 12:30:00,2015.639404296875,2011.443359375,381.37603759765625
2025-02-01 12:45:00,2015.639404296875,2011.401123046875,383.9357299804688
2025-02-01 13:00:00,2015.681396484375,2011.401123046875,385.48834228515625
2025-02-01 13:15:00,2015.59765625,2011.4853515625,386.5374145507813
2025-02-01 13:30:00,2015.639404296875,2011.401123046875,387.3766479492188
2025-02-01 13:45:00,2015.59765625,2011.443359375,389.1390380859375
2025-02-01 14:00:00,2015.639404296875,2011.401123046875,390.7755737304688
2025-02-01 14:15:00,2015.681396484375,2011.401123046875,392.4959716796875
2025-02-01 14:30:00,2015.681396484375,2011.527099609375,395.76904296875
2025-02-01 14:45:00,2015.639404296875,2011.4853515625,396.146728515625
2025-02-01 15:00:00,2015.681396484375,2011.4853515625,398.6644287109375
2025-02-01 15:15:00,2015.681396484375,2011.4853515625,401.0982666015625
2025-02-01 15:30:00,2015.681396484375,2011.401123046875,400.259033203125
2025-02-01 15:45:00,2015.639404296875,2011.527099609375,400.63665771484375
2025-02-01 16:00:00,2015.681396484375,2011.527099609375,401.559814453125
2025-02-01 16:15:00,2015.639404296875,2011.4853515625,403.7838745117188
2025-02-01 16:30:00,2015.639404296875,2011.4853515625,404.83294677734375
2025-02-01 16:45:00,2015.59765625,2011.443359375,405.96588134765625
2025-02-01 17:00:00,2015.681396484375,2011.4853515625,408.4417114257813
2025-02-01 17:15:00,2015.555419921875,2011.4853515625,412.0504760742188
2025-02-01 17:30:00,2015.555419921875,2011.443359375,417.67333984375
2025-02-01 17:45:00,2015.513427734375,2011.4853515625,422.876708984375
2025-02-01 18:00:00,2015.513427734375,2011.443359375,435.9688720703125
2025-02-01 18:15:00,2015.513427734375,2011.527099609375,444.9487915039063
2025-02-01 18:30:00,2015.513427734375,2011.443359375,454.4323120117188
