DateTime,Temp_F,RH_percent
2025-02-01 00:00:00,76.72895050048828,72.35333251953125
2025-02-01 00:15:00,76.76646423339844,72.22114562988281
2025-02-01 00:30:00,76.84567260742188,72.30718231201172
2025-02-01 00:45:00,76.79981231689453,72.11415100097656
2025-02-01 01:00:00,76.83733367919922,72.02603149414062
2025-02-01 01:15:00,76.79981231689453,71.9903564453125
2025-02-01 01:30:00,76.64141845703125,71.81830596923828
2025-02-01 01:45:00,76.75395965576172,71.48680114746094
2025-02-01 02:00:00,76.82899475097656,71.23712921142578
2025-02-01 02:15:00,77.0582504272461,71.14271545410156
2025-02-01 02:30:00,76.97905731201172,71.5098876953125
2025-02-01 02:45:00,77.1082763671875,71.27069854736328
2025-02-01 03:00:00,77.09994506835938,71.30216979980469
2025-02-01 03:15:00,77.29168701171875,71.1888656616211
2025-02-01 03:30:00,77.27501678466797,70.7818374633789
2025-02-01 03:45:00,77.30836486816406,70.5741195678711
2025-02-01 04:00:00,77.28752136230469,70.86576080322266
2025-02-01 04:15:00,77.27084350585938,70.75035858154297
2025-02-01 04:30:00,77.21665954589844,70.66853332519531
2025-02-01 04:45:00,77.37088775634766,70.21533966064453
2025-02-01 05:00:00,77.16663360595703,70.4398422241211
2025-02-01 05:15:00,76.97905731201172,70.65174865722656
2025-02-01 05:30:00,77.0749282836914,70.48389434814453
2025-02-01 05:45:00,77.14995574951172,69.91950988769531
2025-02-01 06:00:00,77.14579772949219,70.38529205322266
2025-02-01 06:15:00,77.31670379638672,70.07686614990234
2025-02-01 06:30:00,77.21249389648438,70.41465759277344
2025-02-01 06:45:00,77.1082763671875,70.53425598144531
2025-02-01 07:00:00,77.13745880126953,69.61527252197266
2025-02-01 07:15:00,76.62474060058594,70.00343322753906
2025-02-01 07:30:00,76.34545135498047,70.0558853149414
2025-02-01 07:45:00,76.28292846679688,70.17127990722656
2025-02-01 08:00:00,76.41632080078125,70.31185913085938
2025-02-01 08:15:00,77.46260070800781,70.15239715576172
2025-02-01 08:30:00,78.21708679199219,69.62786102294922
2025-02-01 08:45:00,78.66310119628906,69.88802337646484
2025-02-01 09:00:00,78.95489501953125,70.6853256225586
2025-02-01 09:15:00,79.49679565429688,71.17418670654297
2025-02-01 09:30:00,80.18458557128906,71.42806243896484
2025-02-01 09:45:00,80.68063354492188,72.05960083007812
2025-02-01 10:00:00,81.27255249023438,72.73309326171875
2025-02-01 10:15:00,81.73941040039062,73.26182556152344
2025-02-01 10:30:00,82.14375305175781,73.75069427490234
2025-02-01 10:45:00,82.41886901855469,74.25843811035156
2025-02-01 11:00:00,82.68148803710938,75.00957489013672
2025-02-01 11:15:00,82.88156127929688,75.42290496826172
2025-02-01 11:30:00,83.02330017089844,75.83203887939453
2025-02-01 11:45:00,83.20254516601562,76.2873306274414
2025-02-01 12:00:00,83.36094665527344,76.57267761230469
2025-02-01 12:15:00,83.52351379394531,77.06574249267578
2025-02-01 12:30:00,83.57353210449219,77.5378189086914
2025-02-01 12:45:00,83.56936645507812,77.7518310546875
2025-02-01 13:00:00,83.56936645507812,77.90080261230469
2025-02-01 13:15:00,83.66940307617188,78.03717803955078
2025-02-01 13:30:00,83.71109008789062,77.80008697509766
2025-02-01 13:45:00,83.75694274902344,77.6846923828125
2025-02-01 14:00:00,83.80697631835938,77.63013458251953
2025-02-01 14:15:00,82.34800720214844,78.7148666381836
2025-02-01 14:30:00,81.79360961914062,79.9045181274414
2025-02-01 14:45:00,81.476806640625,80.41226196289062
2025-02-01 15:00:00,81.41427612304688,80.50877380371094
2025-02-01 15:15:00,81.18917846679688,81.19276428222656
2025-02-01 15:30:00,81.08914184570312,81.58931732177734
2025-02-01 15:45:00,81.03912353515625,82.14741516113281
2025-02-01 16:00:00,81.00994873046875,82.31526947021484
2025-02-01 16:15:00,80.83486938476562,81.81171417236328
2025-02-01 16:30:00,80.58892822265625,81.51377868652344
2025-02-01 16:45:00,81.06413269042969,88.6390380859375
2025-02-01 17:00:00,82.35633850097656,87.91728210449219
2025-02-01 17:15:00,83.01495361328125,86.68148040771484
2025-02-01 17:30:00,83.01078796386719,86.61434173583984
2025-02-01 17:45:00,82.39802551269531,86.9731216430664
2025-02-01 18:00:00,81.91032409667969,86.19890594482422
2025-02-01 18:15:00,81.48513793945312,81.0102310180664
2025-02-01 18:30:00,81.52682495117188,79.1806640625
2025-02-01 18:45:00,81.33090209960938,78.14838409423828
2025-02-01 19:00:00,81.33090209960938,76.1971206665039
2025-02-01 19:15:00,81.28923034667969,74.99279022216797
2025-02-01 19:30:00,81.080810546875,74.17240905761719
2025-02-01 19:45:00,81.05996704101562,73.39400482177734
2025-02-01 20:00:00,80.84320068359375,73.16950225830078
2025-02-01 20:15:00,80.73481750488281,72.3470458984375
2025-02-01 20:30:00,80.47637939453125,71.73228454589844
2025-02-01 20:45:00,80.43885803222656,71.22454071044922
2025-02-01 21:00:00,80.19291687011719,71.36511993408203
2025-02-01 21:15:00,80.08038330078125,71.11333465576172
2025-02-01 21:30:00,79.97616577148438,70.76504516601562
2025-02-01 21:45:00,79.85111999511719,70.69790649414062
2025-02-01 22:00:00,79.730224609375,70.68951416015625
2025-02-01 22:15:00,79.60517883300781,70.5741195678711
2025-02-01 22:30:00,79.4759521484375,70.49858856201172
2025-02-01 22:45:00,79.3050537109375,70.78392791748047
2025-02-01 23:00:00,79.33006286621094,70.50907897949219
2025-02-01 23:15:00,79.62602233886719,70.19644927978516
2025-02-01 23:30:00,79.64686584472656,70.17337799072266
2025-02-01 23:45:00,79.46345520019531,70.6055908203125
