datetime,temp[f],rh[%]
2025-02-01 00:00:00,25.252164204915363,67.08317565917969
2025-02-01 00:15:00,24.64953104654948,67.32911682128906
2025-02-01 00:30:00,24.25671895345052,67.68342590332031
2025-02-01 00:45:00,23.938496907552082,67.97105407714844
2025-02-01 01:00:00,23.71237013075087,68.08360290527344
2025-02-01 01:15:00,23.55267842610677,68.10861206054688
2025-02-01 01:30:00,23.3918211195204,68.06693267822266
2025-02-01 01:45:00,23.380165100097656,68.09611511230469
2025-02-01 02:00:00,23.41396755642361,68.07943725585938
2025-02-01 02:15:00,23.577151828342014,68.06275939941406
2025-02-01 02:30:00,23.578317430284287,68.10027313232422
2025-02-01 02:45:00,23.500226338704426,68.10027313232422
2025-02-01 03:00:00,23.460591634114582,68.14613342285156
2025-02-01 03:15:00,23.452436659071182,68.16697692871094
2025-02-01 03:30:00,23.254275851779514,68.16697692871094
2025-02-01 03:45:00,23.264766269259983,68.1211166381836
2025-02-01 04:00:00,23.265931871202255,68.09611511230469
2025-02-01 04:15:00,23.06311289469401,68.06275939941406
2025-02-01 04:30:00,23.080596923828125,68.04608917236328
2025-02-01 04:45:00,23.06777106391059,67.9960708618164
2025-02-01 05:00:00,22.87894778781467,67.946044921875
2025-02-01 05:15:00,22.7996826171875,67.89186096191406
2025-02-01 05:30:00,22.777536180284287,67.81681823730469
2025-02-01 05:45:00,22.87544674343533,67.79180908203125
2025-02-01 06:00:00,22.927898830837673,67.75012969970703
2025-02-01 06:15:00,22.813665601942276,67.67092895507812
2025-02-01 06:30:00,22.70059797498915,67.56255340576172
2025-02-01 06:45:00,22.98967997233073,67.49168395996094
2025-02-01 07:00:00,23.264766269259983,67.36246490478516
2025-02-01 07:15:00,23.36734347873264,67.26659393310547
2025-02-01 07:30:00,23.1505372789171,67.19572448730469
2025-02-01 07:45:00,23.251948886447483,67.17488861083984
2025-02-01 08:00:00,23.226301405164932,67.3541259765625
2025-02-01 08:15:00,22.850969102647568,67.60005950927734
2025-02-01 08:30:00,22.909249199761284,67.77931213378906
2025-02-01 08:45:00,23.18317413330078,68.9881591796875
2025-02-01 09:00:00,23.05845048692491,70.07611846923828
2025-02-01 09:15:00,22.7996826171875,71.15158081054688
2025-02-01 09:30:00,22.486127217610676,72.04779052734375
2025-02-01 09:45:00,21.46503448486328,73.64847564697266
2025-02-01 10:00:00,20.856577555338543,74.9323501586914
2025-02-01 10:15:00,19.31212107340495,76.24958038330078
2025-02-01 10:30:00,18.67102305094401,76.89569091796875
2025-02-01 10:45:00,17.49723222520616,77.59598541259766
2025-02-01 11:00:00,16.937734815809463,78.28378295898438
2025-02-01 11:15:00,16.366572909884983,78.94239807128906
2025-02-01 11:30:00,16.000565422905815,79.42593383789062
2025-02-01 11:45:00,15.556462605794271,79.70521545410156
2025-02-01 12:00:00,16.011055840386284,80.00117492675781
2025-02-01 12:15:00,16.244184705946182,80.25962829589844
2025-02-01 12:30:00,15.99707285563151,80.6055908203125
2025-02-01 12:45:00,15.712653266059029,80.73481750488281
2025-02-01 13:00:00,16.04485829671224,80.70982360839844
2025-02-01 13:15:00,15.936457316080729,80.70982360839844
2025-02-01 13:30:00,15.619405110677084,80.84320068359375
2025-02-01 13:45:00,15.796580844455296,80.72648620605469
2025-02-01 14:00:00,15.490019056532118,80.90156555175781
2025-02-01 14:15:00,15.903816223144535,80.68063354492188
2025-02-01 14:30:00,15.85719214545356,80.55557250976562
2025-02-01 14:45:00,15.175298055013021,80.39717102050781
2025-02-01 15:00:00,16.304791768391926,79.93864440917969
2025-02-01 15:15:00,16.632334391276046,79.79275512695312
2025-02-01 15:30:00,16.69761233859592,79.73439025878906
2025-02-01 15:45:00,16.831656561957466,79.56765747070312
2025-02-01 16:00:00,16.844478183322483,79.44261169433594
2025-02-01 16:15:00,17.9751459757487,79.00074768066406
2025-02-01 16:30:00,18.673350016276043,78.45468139648438
2025-02-01 16:45:00,20.778477986653645,78.25042724609375
2025-02-01 17:00:00,20.278422037760418,79.20083618164062
2025-02-01 17:15:00,20.066278245713974,79.23001098632812
2025-02-01 17:30:00,20.218980577256943,78.99658203125
2025-02-01 17:45:00,20.256275600857204,78.55055236816406
2025-02-01 18:00:00,20.18866644965278,78.07952880859375
2025-02-01 18:15:00,20.115237765842014,77.27918243408203
2025-02-01 18:30:00,19.981189303927952,76.5205307006836
2025-02-01 18:45:00,20.2527830335829,75.69518280029297
2025-02-01 19:00:00,20.693384806315105,75.107421875
2025-02-01 19:15:00,20.361188252766926,74.49049377441406
2025-02-01 19:30:00,20.531366136338974,73.99445343017578
2025-02-01 19:45:00,20.481245252821182,73.47339630126953
2025-02-01 20:00:00,20.54302215576172,72.91899871826172
2025-02-01 20:15:00,20.55701361762153,72.4896469116211
2025-02-01 20:30:00,20.466092427571613,72.12699127197266
2025-02-01 20:45:00,20.60013665093316,71.81018829345703
2025-02-01 21:00:00,20.419468349880642,71.54757690429688
2025-02-01 21:15:00,20.572162204318577,71.3891830444336
2025-02-01 21:30:00,20.46492682562934,71.20159149169922
2025-02-01 21:45:00,20.664244757758247,71.03485870361328
2025-02-01 22:00:00,20.721363491482204,70.84310913085938
2025-02-01 22:15:00,20.66774580213759,70.61384582519531
2025-02-01 22:30:00,21.025589836968315,70.4596176147461
2025-02-01 22:45:00,20.920685662163628,70.30121612548828
2025-02-01 23:00:00,21.488346523708767,70.14281463623047
2025-02-01 23:15:00,21.474363538953995,70.04694366455078
2025-02-01 23:30:00,21.49417453342014,69.89270782470703
2025-02-01 23:45:00,21.878831651475693,69.85102844238281
