DateTime,AirPress_hPa
2025-02-01 00:00:00,887.284021
2025-02-01 00:01:00,887.287962
2025-02-01 00:02:00,887.282705
2025-02-01 00:02:00,887.288614
2025-02-01 00:03:00,887.286644
2025-02-01 00:04:00,887.257105
2025-02-01 00:04:00,887.264984
2025-02-01 00:05:00,887.280075
2025-02-01 00:06:00,887.284678
2025-02-01 00:06:00,887.276798
2025-02-01 00:07:00,887.259722
2025-02-01 00:07:00,887.259722
2025-02-01 00:08:00,887.220991
2025-02-01 00:09:00,887.227556
2025-02-01 00:10:00,887.270226
2025-02-01 00:10:00,887.268913
2025-02-01 00:11:00,887.257765
2025-02-01 00:12:00,887.307661
2025-02-01 00:12:00,887.310287
2025-02-01 00:13:00,887.333267
2025-02-01 00:13:00,887.330641
2025-02-01 00:14:00,887.379885
2025-02-01 00:14:00,887.383167
2025-02-01 00:15:00,887.427811
2025-02-01 00:15:00,887.423216
2025-02-01 00:16:00,887.44948
2025-02-01 00:16:00,887.44948
2025-02-01 00:17:00,887.476402
2025-02-01 00:17:00,887.479685
2025-02-01 00:18:00,887.530897
2025-02-01 00:18:00,887.527615
2025-02-01 00:19:00,887.549276
2025-02-01 00:19:00,887.554529
2025-02-01 00:20:00,887.560446
2025-02-01 00:21:00,887.555841
2025-02-01 00:22:00,887.56241
2025-02-01 00:23:00,887.560436
2025-02-01 00:24:00,887.583418
2025-02-01 00:25:00,887.603781
2025-02-01 00:25:00,887.604437
2025-02-01 00:26:00,887.59326
2025-02-01 00:26:00,887.590633
2025-02-01 00:27:00,887.614279
2025-02-01 00:28:00,887.607054
2025-02-01 00:29:00,887.575542
2025-02-01 00:30:00,887.552563
2025-02-01 00:31:00,887.540083
2025-02-01 00:32:00,887.542717
2025-02-01 00:33:00,887.534176
2025-02-01 00:34:00,887.511196
2025-02-01 00:34:00,887.511196
2025-02-01 00:35:00,887.479681
2025-02-01 00:35:00,887.475084
2025-02-01 00:36:00,887.494131
2025-02-01 00:36:00,887.496758
2025-02-01 00:37:00,887.471796
2025-02-01 00:37:00,887.474422
2025-02-01 00:38:00,887.419275
2025-02-01 00:39:00,887.415337
2025-02-01 00:39:00,887.414679
2025-02-01 00:40:00,887.432413
2025-02-01 00:41:00,887.40221
2025-02-01 00:42:00,887.457357
2025-02-01 00:43:00,887.479685
2025-02-01 00:44:00,887.480995
2025-02-01 00:45:00,887.509239
2025-02-01 00:46:00,887.535488
2025-02-01 00:47:00,887.557158
2025-02-01 00:48:00,887.585392
2025-02-01 00:48:00,887.583422
2025-02-01 00:49:00,887.616249
2025-02-01 00:49:00,887.618876
2025-02-01 00:50:00,887.633312
2025-02-01 00:50:00,887.631342
2025-02-01 00:51:00,887.609684
2025-02-01 00:52:00,887.596542
2025-02-01 00:53:00,887.566347
2025-02-01 00:54:00,887.554537
2025-02-01 00:54:00,887.550596
2025-02-01 00:55:00,887.50923
2025-02-01 00:55:00,887.513168
2025-02-01 00:56:00,887.488873
2025-02-01 00:57:00,887.477713
2025-02-01 00:57:00,887.477713
2025-02-01 00:58:00,887.498068
2025-02-01 00:58:00,887.490189
2025-02-01 00:59:00,887.496099
2025-02-01 00:59:00,887.498726
2025-02-01 01:00:00,887.546658
2025-02-01 01:00:00,887.542719
2025-02-01 01:01:00,887.526958
2025-02-01 01:02:00,887.541399
2025-02-01 01:02:00,887.542711
2025-02-01 01:03:00,887.564384
2025-02-01 01:03:00,887.566353
2025-02-01 01:04:00,887.535488
2025-02-01 01:05:00,887.503975
2025-02-01 01:05:00,887.503975
2025-02-01 01:06:00,887.501352
2025-02-01 01:06:00,887.506603
2025-02-01 01:07:00,887.468523
2025-02-01 01:07:00,887.462616
2025-02-01 01:08:00,887.460646
2025-02-01 01:08:00,887.453423
2025-02-01 01:09:00,887.446852
2025-02-01 01:10:00,887.435688
